trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
145,0,145,0,5,349.3164442999987,349.3164442999987,0.019864800000505056,[0.38671875],[-0.3541666666666667],[1],[0],[0],[1.9547004999985802],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
146,0,146,0,10,351.3137409999981,351.3137409999981,0.03562519999832148,[0.3307291666666667],[0.4466145833333333],[1],[0],[0],[3.472038700005214],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
147,0,147,0,10,354.81980140000087,354.81980140000087,0.030539499995938968,[0.055989583333333336],[0.08723958333333333],[1],[0],[0],[1.5308459999941988],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
148,0,148,0,5,356.3664598999967,356.3664598999967,0.017566300004546065,[0.20963541666666666],[0.20833333333333334],[1],[0],[0],[1.4273201000032714],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
149,0,149,0,10,357.84566809999524,357.84566809999524,0.04046570000355132,[-0.12630208333333334],[0.05859375],[1],[0],[0],[1.8172207999959937],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
150,0,150,0,10,359.7023967999994,359.7023967999994,0.035627700002805796,[-0.3463541666666667],[0.037760416666666664],[1],[0],[0],[1.7740061000004061],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
151,0,151,0,5,361.49287729999924,361.49287729999924,0.01672369999869261,[0.21614583333333334],[0.16536458333333334],[1],[0],[0],[1.6260031999991043],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
152,0,152,0,5,363.14582549999614,363.14582549999614,0.020731699994939845,[-0.4036458333333333],[-0.21614583333333334],[1],[0],[0],[1.5887336999949184],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
153,0,153,0,5,364.7539106999975,364.7539106999975,0.017520599998533726,[-0.1796875],[-0.005208333333333333],[1],[0],[0],[1.9093178000039188],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
154,0,154,0,10,366.70237059999636,366.70237059999636,0.03178640000260202,[-0.09895833333333333],[0.375],[1],[0],[0],[1.8951177999988431],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
155,0,155,0,5,368.6146549999976,368.6146549999976,0.018043200005195104,[-0.2981770833333333],[-0.4661458333333333],[1],[0],[0],[2.841072000002896],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
156,0,156,0,10,371.4953258000023,371.4953258000023,0.0299382000011974,[-0.5],[0.014322916666666666],[1],[0],[0],[2.0308705999996164],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
157,0,157,0,10,373.55762369999866,373.55762369999866,0.030852500000037253,[-0.203125],[0.29296875],[1],[0],[0],[1.7126811999987694],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
158,0,158,0,10,375.30784270000004,375.30784270000004,0.03289450000011129,[0.053385416666666664],[0.13151041666666666],[1],[0],[0],[1.8279402000043774],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
159,0,159,0,10,377.176630199996,377.176630199996,0.03642020000552293,[0.3359375],[-0.4348958333333333],[1],[0],[0],[2.4384132999985013],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
160,0,160,0,5,379.6353106000024,379.6353106000024,0.020435600003111176,[0.4817708333333333],[0.34765625],[1],[0],[0],[2.7205466000013985],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
161,0,161,0,5,382.3834216999967,382.3834216999967,0.021556300001975615,[0.04296875],[0.3190104166666667],[1],[0],[0],[2.153191599994898],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
162,0,162,0,5,384.55414290000044,384.55414290000044,0.01628790000540903,[-0.3424479166666667],[-0.328125],[1],[0],[0],[2.7434237000052235],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
163,0,163,0,10,387.3382430999991,387.3382430999991,0.03240580000419868,[0.033854166666666664],[-0.08854166666666667],[1],[0],[0],[1.9439819999970496],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
164,0,164,0,5,389.2992488999953,389.2992488999953,0.01800379999622237,[0.12109375],[0.421875],[1],[0],[0],[1.8259834999989835],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
165,0,165,0,5,391.1501649999991,391.1501649999991,0.02062619999924209,[0.4127604166666667],[0.09505208333333333],[1],[0],[0],[2.171770799999649],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
166,0,166,0,5,393.34295890000067,393.34295890000067,0.017424699995899573,[0.47265625],[0.059895833333333336],[1],[0],[0],[1.6925000000046566],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
167,0,167,0,10,395.08709429999726,395.08709429999726,0.04173319999972591,[-0.3033854166666667],[0.12239583333333333],[1],[0],[0],[2.2848113999934867],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
168,0,168,0,5,397.3896931999989,397.3896931999989,0.0191357000003336,[-0.02734375],[-0.19140625],[1],[0],[0],[2.4384813999931794],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
169,0,169,0,10,399.8700117999979,399.8700117999979,0.03438070000265725,[0.2109375],[-0.4557291666666667],[1],[0],[0],[2.142853400000604],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
170,0,170,0,5,402.0292354999983,402.0292354999983,0.016666600000462495,[0.5],[-0.2747395833333333],[1],[0],[0],[1.6767436999944039],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
171,0,171,0,10,403.7514493999988,403.7514493999988,0.034616000004461966,[0.05078125],[-0.19791666666666666],[1],[0],[0],[1.82426910000504],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
172,0,172,0,10,405.6100646999985,405.6100646999985,0.032226899995293934,[-0.2643229166666667],[0.2565104166666667],[1],[0],[0],[1.8946972000048845],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
173,0,173,0,10,407.54563139999664,407.54563139999664,0.03430120000120951,[0.41015625],[-0.3046875],[1],[0],[0],[2.4239756999959354],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
174,0,174,0,10,410.00530140000046,410.00530140000046,0.03331130000151461,[-0.4453125],[0.4440104166666667],[1],[0],[0],[1.7765232999954605],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
175,0,175,0,10,411.8182519999973,411.8182519999973,0.0340310999963549,[0.15625],[0.09505208333333333],[1],[0],[0],[1.9931589999978314],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
176,0,176,0,5,413.8278859999991,413.8278859999991,0.01670429999649059,[-0.01171875],[0.022135416666666668],[1],[0],[0],[1.9433510000017122],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
177,0,177,0,5,415.7920016999997,415.7920016999997,0.016956799998297356,[-0.19791666666666666],[-0.0026041666666666665],[1],[0],[0],[1.7258435999974608],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
178,0,178,0,10,417.5618803999969,417.5618803999969,0.0344390000027488,[-0.3606770833333333],[-0.07421875],[1],[0],[0],[1.9430291000026045],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
179,0,179,0,5,419.51730519999546,419.51730519999546,0.017299399994954,[0.4309895833333333],[-0.2786458333333333],[1],[0],[0],[2.193693799999892],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
180,0,180,0,5,421.7376284999991,421.7376284999991,0.020691700003226288,[0.23177083333333334],[-0.024739583333333332],[1],[0],[0],[1.7545975000030012],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
181,0,181,0,10,423.52811510000174,423.52811510000174,0.029605300005641766,[-0.21614583333333334],[0.041666666666666664],[1],[0],[0],[1.4493000000002212],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
182,0,182,0,10,425.0146128999986,425.0146128999986,0.03399160000117263,[0.4908854166666667],[-0.4401041666666667],[1],[0],[0],[2.5420598999990034],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
183,0,183,0,5,427.5740510999967,427.5740510999967,0.01837349999550497,[-0.30078125],[-0.390625],[1],[0],[0],[1.9919810999999754],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
184,0,184,0,10,429.6124901000003,429.6124901000003,0.03742480000073556,[0.4622395833333333],[0.3776041666666667],[1],[0],[0],[2.0376462999993237],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
185,0,185,0,10,431.69401839999773,431.69401839999773,0.03781609999714419,[0.4856770833333333],[0.24088541666666666],[1],[0],[0],[1.521383600003901],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
186,0,186,0,5,433.2302242000005,433.2302242000005,0.016959100001258776,[-0.3502604166666667],[0.453125],[1],[0],[0],[2.1600442999988445],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
